trial_type,go_nogo,stim_type,stim_subtype,corr_resp1,corr_resp2,imgLoader.thisRepN,imgLoader.thisTrialN,imgLoader.thisN,imgLoader.thisIndex,pracBlock_loop.thisRepN,pracBlock_loop.thisTrialN,pracBlock_loop.thisN,pracBlock_loop.thisIndex,pracTrials_loop.thisRepN,pracTrials_loop.thisTrialN,pracTrials_loop.thisN,pracTrials_loop.thisIndex,thisRow.t,notes,prepStims.started,prepStims.stopped,loadStims.started,loadStims.stopped,shuffleStims.started,shuffleStims.stopped,prepTimings.started,prepTimings.stopped,instructions.started,textInstructions.started,keyInstruct.started,instructions.stopped,keyInstruct.keys,keyInstruct.rt,keyInstruct.duration,prepPrac.started,textPractice.started,keyPractice.started,prepPrac.stopped,keyPractice.keys,keyPractice.rt,keyPractice.duration,prepTrial.started,jitter_time,trial_img,trial_time,prepTrial.stopped,jitteredISI.started,textJitteredFix.started,textJitteredFix.stopped,jitteredISI.stopped,preTrial.started,textPreTrialFix.started,textPreTrialFix.stopped,preTrial.stopped,iceTrial.started,stopSignal.started,imageTarg.started,keyResp.started,stopSignal.stopped,iceTrial.stopped,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,go_accuracy,go_reaction_time,postTrial.started,textPostTrial.started,postTrial.stopped,imageTarg.stopped,keyResp.stopped,buzz_time,no_go_acc,new_buzz_time,textPostTrial.stopped,blockFeedback.started,feedbackText.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.21024066599966318,,0.01108725000085542,0.011699750000843778,0.16185650000079477,0.16202650000013818,0.1620524160007335,0.16398841599948355,0.16399420800007647,0.16414079099922674,0.16414624999924854,0.21024066599966318,0.21024066599966318,6.589095625000482,space,6.357439667001017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Positive,no_go,positive_image,none,None,None,,,,,0,0,0,0,0,19,19,43,61.2219599580003,,,,,,,,,,,,,,,,,,,,,,,,61.21320758299953,0.35,Naturalistic_scenes/Negative/1205.jpg,1.25,61.21340587499981,61.21342937500049,61.2219599580003,61.571183083000506,61.563837666000836,61.56384649999927,61.571183083000506,62.08448466600021,62.06301670799985,62.063023958000485,62.76377555350082,62.311529291000625,62.311529291000625,,62.92359070800012,a,0,0.6102469999987079,None,,,62.93185895799979,62.94149629099957,63.939090166000824,,,0.7000000000000002,0,0.6500000000000001,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Positive,go,positive_image,none,a,None,,,,,0,0,0,0,0,20,20,26,63.946738165999705,,,,,,,,,,,,,,,,,,,,,,,,63.93966466600068,0.3,Naturalistic_scenes/Ambiguous/7033.jpg,1.25,63.94027287499921,63.940290791000734,63.946738165999705,64.24643512500006,64.23891824999919,64.23894266599928,64.24643512500006,64.76081116599926,64.7390077910004,64.73902537499998,64.76367882849955,64.99670204100039,64.99670204100039,65.26785216600001,66.23887912499958,None,0,,,0,[],66.23912208299953,66.24729608300004,67.23924354100018,66.24729608300004,66.24729608300004,,,,67.24690320800073,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Positive,go,positive_image,none,a,None,,,,,0,0,0,0,0,21,21,31,67.24690320800073,,,,,,,,,,,,,,,,,,,,,,,,67.23986495800091,0.15,Naturalistic_scenes/Ambiguous/7019.jpg,1.25,67.24037416600004,67.24039783300032,67.24690320800073,67.39478941599918,67.38903108299928,67.38903995799956,67.39478941599918,67.91878404099953,67.88932183299949,67.88934599999993,67.91402257849914,68.1469667500005,68.1469667500005,68.41842254100084,68.72461958299937,l,0,0.5758596249997936,None,0,0.5758596249997936,68.72539633300039,68.73658808300024,69.72894154099959,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Negative,no_go,negative_image,none,None,None,,,,,0,0,0,0,0,22,22,41,69.73835683300058,,,,,,,,,,,,,,,,,,,,,,,,69.7291657500009,0.3,Naturalistic_scenes/Ambiguous/2595.jpg,1.25,69.72943529099939,69.72944933299914,69.73835683300058,70.03872212500028,70.02989887500007,70.02990833299918,70.03872212500028,,70.53022729099939,70.53023416600081,71.18045126249963,70.78054399999928,70.78054399999928,71.68476704100067,72.02283937500033,None,0,,,,,72.02759166599935,72.0358397910004,73.03006566600016,72.0358397910004,72.0358397910004,0.6500000000000001,1,0.7000000000000002,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Positive,no_go,positive_image,none,None,None,,,,,0,0,0,0,0,23,23,42,73.03888295800061,,,,,,,,,,,,,,,,,,,,,,,,73.03024150000056,0.25,Naturalistic_scenes/Positive/1460.jpg,1.25,73.0304345830009,73.03044441599923,73.03888295800061,73.28807525000047,73.2809642079992,73.2809732500009,73.28807525000047,73.79750229099955,73.78037370799939,73.78038083300089,74.48064626249943,74.02998712500084,74.02998712500084,74.98517204100062,75.27295870799935,None,0,,,,,75.27349170799971,75.28026675000001,76.27255312499983,75.28026675000001,75.28026675000001,0.7000000000000002,1,0.7500000000000002,76.27907608299938,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Negative,no_go,negative_image,none,None,None,,,,,0,0,0,0,0,24,24,38,76.27907608299938,,,,,,,,,,,,,,,,,,,,,,,,76.2728016660003,0.3,Naturalistic_scenes/Negative/3069.jpg,1.25,76.27299229100026,76.27300383299917,76.27907608299938,76.57741762499973,76.57234791600058,76.5723568329995,76.57741762499973,77.09285533299953,77.07282316599958,77.07284116600022,77.82136417849979,77.32964641599938,77.32964641599938,78.32613516600031,78.57290629099953,None,0,,,,,78.57342837500073,78.58022291599991,79.57316154100045,78.58022291599991,78.58022291599991,0.7500000000000002,1,0.8000000000000003,79.58119016599994,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Negative,go,negative_image,none,l,None,,,,,0,0,0,0,0,25,25,18,79.58119016599994,,,,,,,,,,,,,,,,,,,,,,,,79.57372600000053,0.3,Naturalistic_scenes/Ambiguous/7018.jpg,1.25,79.57412754100005,79.57415050000054,79.58119016599994,79.88090424999973,79.87289137500011,79.87291279099918,79.88090424999973,80.39534591600022,80.37188095800047,80.3718873329999,80.39714753749978,80.6272811660001,80.6272811660001,80.90147799999977,81.87269625000044,None,0,,,0,[],81.8732623750002,81.88261087499995,82.87981154100089,81.88261087499995,81.88261087499995,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Positive,no_go,positive_image,none,None,None,,,,,0,0,0,0,0,26,26,44,82.88890283299952,,,,,,,,,,,,,,,,,,,,,,,,82.87998479099952,0.15,Naturalistic_scenes/Ambiguous/1945.jpg,1.25,82.88019758299924,82.88020695799969,82.88890283299952,83.03882204100046,83.02997104099995,83.0299804160004,83.03882204100046,,83.53019620799932,83.53020325000034,84.33030863749919,83.78050345799966,83.78050345799966,84.83505916600006,85.02284775000044,None,0,,,,,85.0233389999994,85.03240837500016,86.02925441600019,85.03240837500016,85.03240837500016,0.8000000000000003,1,0.8500000000000003,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Ambiguous,go,ambiguous_image,none,a,l,,,,,0,0,0,0,0,27,27,2,86.03895420799927,,,,,,,,,,,,,,,,,,,,,,,,86.0295299999998,0.3,Naturalistic_scenes/Ambiguous/7026.jpg,1.25,86.02983183300057,86.02984137500061,86.03895420799927,86.33899158299937,86.33007737499975,86.33008620799956,86.33899158299937,,86.83068154099965,86.8306888749994,86.84768339999974,87.07799754100051,87.07799754100051,87.35220883299917,88.32274179100023,None,0,,,0,[],88.32328129099915,88.33302170800016,89.32862233299966,88.33302170800016,88.33302170800016,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Negative,go,negative_image,none,l,None,,,,,0,0,0,0,0,28,28,20,89.3392465830002,,,,,,,,,,,,,,,,,,,,,,,,89.32879683300052,0.2,Naturalistic_scenes/Negative/6821.jpg,1.25,89.32906591599931,89.3290751250006,89.3392465830002,89.54723037499934,89.53990529099974,89.539924875,89.54723037499934,90.05947829099932,90.0389812909998,90.03899904100035,90.05532656600045,90.29706837500089,90.29706837500089,90.55845066599977,91.54010716599987,None,0,,,0,[],91.54086583299977,91.54738612499932,92.54010329099947,91.54738612499932,91.54738612499932,,,,92.54676229100005,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
